id,po,so,name,item,itemdesc,qty,lineup,converting,fg,delivery,shipqty,date,deliverydate,comment,c,p,o,f,shipstatus,prodqty,pendingqty,orderstatus,creasingtime,printingtime,dcrtime,finishrtime,lineuptime,converttime,fgtime,lastedited,deliverytime
579,0007786SI,270,Thousand Oaks Packaging Corporation-PPC,648x853 175lbs B Flute (648x853 175lbs B-Flute),648x853 175lbs B-Flute,1000,f,f,f,f,,2022-04-23,,,f,f,f,f,,,,Planner,,,,,,,,,
580,0007786SI,322,Thousand Oaks Packaging Corporation-PPC,648x853 175lbs B Flute (648x853 175lbs B-Flute),648x853 175lbs B-Flute,1000,f,f,f,f,,2022-04-28,,,f,f,f,f,,,,Planner,,,,,,,,,
581,0007848 SI,386,Thousand Oaks Packaging Corporation-PPC,648x853 175lbs B Flute (648x853 175lbs B-Flute),648x853 175lbs B-Flute,1000,f,f,f,f,,2022-05-11,,,f,f,f,f,,,,Planner,,,,,,,,,
582,7211,607,SUH PACK (PHILS) INC.,64x40 250lbs BC Flute (1626),1626,550,f,f,f,f,,2022-06-03,,,f,f,f,f,,,,Planner,,,,,,,,,
583,"",56,Boxmates Packaging Corporation,64x61 350lbs BC-Flute (1626),1626,500,f,f,f,f,,2022-02-18,,,f,f,f,f,,,,Planner,,,,,,,,,
584,7229,755,SUH PACK (PHILS) INC.,64x78.50 350lbs BC-Flute (1626),1626,500,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
585,0007858EN,452,Thousand Oaks Packaging Corporation-PPC,650x448 125lbs B-Flute (650x448 (140-125-125)),650x448 (140-125-125),3000,f,f,f,f,,2022-05-17,,,f,f,f,f,,,,Planner,,,,,,,,,
586,0007793EN,305,Thousand Oaks Packaging Corporation-PPC,650x510 125lbs B Flute (650x510 140-125-125)),650x510 140-125-125),3500,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
587,22-00267,179,Exelpack Corporation,657x618 175lbs B-Flute (657x618 175lbs),657x618 175lbs,2600,f,f,f,f,,2022-04-06,,,f,f,f,f,,,,Planner,,,,,,,,,
588,7210,606,SUH PACK (PHILS) INC.,65x46 350lbs BC Flute (1651),1651,600,f,f,f,f,,2022-06-03,,,f,f,f,f,,,,Planner,,,,,,,,,
589,7746,187,Thousand Oaks Packaging Corporation-PPC,660x1212 175lbs. C-Flute (660x1212),660x1212,300,f,f,f,f,,2022-04-07,,,f,f,f,f,,,,Planner,,,,,,,,,
590,AP-41972-4,751,"AP CARTON BOX, INC.",664x1958 350lbs BC-Flute (157x350x157 (m to f)),157x350x157 (m to f),1070,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
591,AP-41111-4,417,"AP CARTON BOX, INC.",664x1958 350lbs CB Flute (157x350x157 (m to f)),157x350x157 (m to f),1700,f,f,f,f,,2022-05-13,,,f,f,f,f,,,,Planner,,,,,,,,,
592,AP-41410-4,543,"AP CARTON BOX, INC.",665x1868 350lbs BC Flute (180x305x180(m to f )),180x305x180(m to f ),1310,f,f,f,f,,2022-05-27,,,f,f,f,f,,,,Planner,,,,,,,,,
593,AP-41531-4,609,"AP CARTON BOX, INC.",665x1868 350lbs BC Flute (180x305x180(m to f )),180x305x180(m to f ),3100,f,f,f,f,,2022-06-04,,,f,f,f,f,,,,Planner,,,,,,,,,
594,AP41973-4,750,"AP CARTON BOX, INC.",665x1868 350lbs BC Flute (180x305x180(m to f )),180x305x180(m to f ),2020,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
595,AP-40492-4,143,"AP CARTON BOX, INC.",665x1868 350lbs BC-Flute (665x1868 350lbs),665x1868 350lbs,1140,f,f,f,f,,2022-03-31,,,f,f,f,f,,,,Planner,,,,,,,,,
596,AP-40586-4,167,"AP CARTON BOX, INC.",665x1868 350lbs BC-Flute (665x1868 350lbs),665x1868 350lbs,1710,f,f,f,f,,2022-04-04,,,f,f,f,f,,,,Planner,,,,,,,,,
597,8039,759,Thousand Oaks Packaging Corporation-PPC,667x709 175lbs C-Flute (667 (140-125-140)),667 (140-125-140),1000,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
598,"",358,Jinhong Packaging-PPC,66x85.75 175lbs C-Flute (1676),1676,150,f,f,f,f,,2022-05-06,,,f,f,f,f,,,,Planner,,,,,,,,,
599,BMPC-22-099,183,Boxmates Packaging Corporation,66x96 NT C Flute (838),838,1510,f,f,f,f,,2022-04-07,,,f,f,f,f,,,,Planner,,,,,,,,,
600,BMPC-22-138,447,Boxmates Packaging Corporation,66x96 NT C Flute (838),838,1000,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
